ChampName,Synonyms
Aatrox,aatrox;atrox;aytrox
Ahri,ahri;already;are e;ari;re;rei;r&f
Akali,akali;call me
Alistar,alistair;alistar
Amumu,amumu
Anivia,anivia
Annie,annie;any
Aphelios,aphelios;I feel us
Ashe,ash;ashe
AurelionSol,aurelion sol;asl;a sole;asol;asshole;ay sole;basil
Azir,azir;uh-zeer
Bard,bard
Blitzcrank,blitz;blitzcrank;crank;blitz crank
Brand,brand
Braum,braum;brawn
Caitlyn,cait;caitlin;caitlyn;kaitlyn;kaitlin
Camille,cam;camille
Cassiopeia,cass;cassio;cassiopeia;kass;casio
Chogath,cho;chogath;cho'gath
Corki,corgi;corki
Darius,dar;dare;darius
Diana,diana
DrMundo,dr. mundo;mundo
Draven,draven
Ekko,echo;ekko
Elise,elise;lease
Evelynn,evelyn;ev;eve;evelynn
Ezreal,azrael;azreal;as;ez;ezreal;israel;ethereal;adderall
Fiddlesticks,fiddle;fiddlesticks
Fiora,ciara;fio;fiora
Fizz,fizz
Galio,dahlia;galio
Gangplank,gangplank;gp;plank
Garen,garen;gareon;karen
Gnar,gnar;gnaw;nor
Gragas,grag;gragas
Graves,grave;graves
Hecarim,hec;hecarim;heck;ackerman
Heimerdinger,dinger;donger;heim;heimer;heimerdinger
Illaoi,ill ow ee;illaoi
Irelia,irel;irelia
Ivern,ivern;ivory;wyvern
Janna,jana;jenna;janna
JarvanIV,darvin;j four;j4;jarvan
Jax,jax;jacks;jack
Jayce,chase;jayce
Jhin,gin;jhin;jin;gym;jindo
Jinx,jinx
Kaisa,kaiser;kai'sa;kaisa
Kalista,calista;kalista
Karma,karma
Karthus,karthus
Kassadin,cass;kass;kassadin
Katarina,cat;catalina;catarina;kat;katarina
Kayle,kale;kayle
Kayn,cane;kane;kayn
Kennen,canon;kennen
Khazix,ca;car sick;car six;ka;kha;khazix;car six
Kindred,kin;kindred
Kled,clyde;glad;kled
KogMaw,kog;cog;kogmaw
LeBlanc,lb;leblanc
LeeSin,lee;lee sin;lie;listen
Leona,leo;leona
Lissandra,liss;lissandra
Lucian,lucian;luke
Lulu,lulu
Lux,lux;luck
Malphite,malff;malph;malphite
Malzahar,malz;malice;malzahar
Maokai,malachi;mao;maokai;meow
MasterYi,master ye;master yi;yee;yi
MissFortune,misfortunte;mf;misfortunate;miss fortune
Mordekaiser,morde;mord;mordekaiser
Morgana,morg;morgana;morgiana
Nami,na mean;nami;know mean
Nasus,nasus
Nautilus,naughty;naught;naut;nautilus;not
Neeko,neeko;nico;niko
Nidalee,italy;middle e;need;nid;nidalee
Nocturne,nocturne;nocturnal;knock;noc;nock
Nunu,new new;nunu
Olaf,olaf
Orianna,oriana;ori;orianna;worry;ore;oryana
Ornn,horn;orn;ornn;porn;or
Pantheon,panth;panth;pantheon;pants
Poppy,poppy
Pyke,pike;dike;pyke
Qiyana,qiyana;tiana;gianna
Quinn,quill;quin;quinn
Rakan,rakan;rock on
Rammus,ramos;ram;rammus;ramis
Reksai,rek;reksai;wreck
Renekton,neck;renek;renekton
Rengar,rengar;cat
Riven,ribbon;riven;river
Rumble,rumble
Ryze,rise;ryze
Sejuani,seg;sej;sejuani;touch
Shaco,shaco;shako
Shen,shed;shen
Shyvana,shiv;shyv;shyvana
Singed,singed
Sion,scion;sion
Sivir,severe;sivir
Skarner,skarner
Sona,so no;sona
Soraka,raka;rocket;soraka
Swain,swain;swim;wane
Sylas,silo;sylas
Syndra,syndra
TahmKench,tahm kench;tom ken;tom kench
Taliyah,Thalia;taliya;taliyah
Talon,talon
Taric,Tarik;tareek;tarek;taric
Teemo,teemo
Thresh,thrash;thresh;thrush
Tristana,trist;trust;tristana
Trundle,trundle
Tryndamere,trynd;trind;tryndamere
TwistedFate,tf;twisted fate
Twitch,twitch
Udyr,u deer;udeer;udir;udyr;you deer
Urgot,you got;urgot
Varus,varus;varis;varys
Vayne,vain;vayne
Veigar,vaygar;vee ay gar;veigar
Velkoz,vel;vel koz;velkoz
Vi,vi;vie
Viktor,vic;victor;vik;viktor
Vladimir,vlad;vladimir
Volibear,bear;voli;volibear;volley
Warwick,war;warwick;wick;ww
Wukong,kong;wook;wuk;wukong
Xayah,xayah;zaya;zayah;xaya
Xerath,xerath;zur rath;zyra
XinZhao,xin;zin;xin zhao
Yasuo,yas;yass;yasuo
Yorick,yorick
Yuumi,Yume;you me;you mean;yume;yummy;yuumi
Zac,zach;zack;zac;zak
Zed,zedd;zed
Ziggs,zags;zig;zig's;ziggs
Zilean,Julian;zelina;zil;zilean;zillion
Zoe,zoe
Zyra,zyra;zara;xerath
Top,top
Jungle,jung;jungler;jungle
Mid,mid;midna
ADC,bot;adc;ad carry;ad;atc;80;a d; a t;a dc
Support,supp;support;sup;sub;sapna
Senna,senna;seen a;cent
Sett,sett;set;
